,ISIN,Name,Symbol,Type,TER,Dividendi,Trading Currency
194,IE00B5L8K969,ISHARES MSCI EM ASIA UCITS ETF USD ACC,CSEMAS:MILANO,ETF,"0,20%",Accumulating,EUR
195,LU0533032420,LYXOR MSCI WLD ENERGY UCITS ETF - ACC,ENERW:MILANO,ETF,"0,30%",Accumulating,EUR
196,LU0533033824,LYXOR MSCI WLD MATERIALS UCITS ETF - ACC,MATW:MILANO,ETF,"0,30%",Accumulating,EUR
197,LU0533033238,LYXOR MSCI WLD HEALCARE TR UCITS ETF ACC,HLTW:MILANO,ETF,"0,30%",Accumulating,EUR
198,LU0533032859,LYXOR MSCI WLD FINANCIALS UCITS ETF ACC,FINSW:MILANO,ETF,"0,30%",Accumulating,EUR
199,LU0533034129,LYXOR MSCI WLD COMMUNIC TR UCITS ETF,TELEW:MILANO,ETF,"0,30%",Accumulating,EUR
200,LU0533032008,LYXOR MSCI WLD CONS DISCR UCITS ETF ACC,DISW:MILANO,ETF,"0,30%",Accumulating,EUR
201,LU0533032263,LYXOR MSCI WLD CONS STAPL UCITS ETF ACC,STAW:MILANO,ETF,"0,30%",Accumulating,EUR
202,LU0533033402,LYXOR MSCI WLD INDUSTRIALS UCITS ETF ACC,INDGW:MILANO,ETF,"0,30%",Accumulating,EUR
203,LU0533033667,LYXOR MSCI WLD INF TECH UCITS ETF ACC,TNOW:MILANO,ETF,"0,30%",Accumulating,EUR
204,LU0533034558,LYXOR MSCI WLD UTILITIES UCITS ETF - ACC,UTIW:MILANO,ETF,"0,30%",Accumulating,EUR
205,IE00B2NPKV68,ISHARES J.P. MORGAN $ EM UCITS ETF DIST,IEMB:MILANO,ETF,"0,45%",Distributing,EUR
206,IE00B66F4759,ISHARES HIGH YLD CORP UCITS ETF DIST,IHYG:MILANO,ETF,"0,50%",Distributing,EUR
207,LU0524480265,XTRII IBOXX EUROZ GOV YLD PLUS UCITS ETF,XY4P:MILANO,ETF,"0,15%",Accumulating,EUR
208,LU0476289623,XTRACKERS MSCI INDONESIA SWAP UCITS ETF,XMIN:MILANO,ETF,"0,65%",Accumulating,EUR
209,IE00B42Z5J44,ISHARES MSCI JAPAN EUR HDG UCITS ETF ACC,IJPE:MILANO,ETF,"0,64%",Accumulating,EUR
210,IE00B441G979,ISHARES MSCI WORLD EUR HDG UCITS ETF ACC,IWDE:MILANO,ETF,"0,55%",Accumulating,EUR
211,IE00B3ZW0K18,ISHARES S&P 500 EUR HEDGED UCITS ETF ACC,IUSE:MILANO,ETF,"0,20%",Accumulating,EUR
212,FR0011023621,LYXOR BTP DAILY -2X INV UCITS ETF ACC,BTP2S:MILANO,STRUCTURED ETF,"0,40%",Accumulating,EUR
